,,Wins,Losses,Ties,AVG Rounds
ai,random,23.0,7.0,0.0,3.2
ai,rl_llama3_trained,21.0,9.0,0.0,5.733333333333333
ai,llm_mistral,20.0,10.0,0.0,1.6333333333333333
ai,rl_mistral_trained,18.0,12.0,0.0,4.833333333333333
llm_mistral,random,18.0,10.0,2.0,9.466666666666667
rl_rules_trained,llm_llama3,18.0,10.0,2.0,6.933333333333334
ai,llm_llama3,17.0,13.0,0.0,2.2
rl_rules_trained,ai,17.0,13.0,0.0,2.9
rl_llama3_trained,random,17.0,8.0,5.0,15.866666666666667
llm_llama3,llm_mistral,16.0,12.0,2.0,4.566666666666666
llm_llama3,random,16.0,11.0,3.0,15.333333333333334
rl_mistral_trained,random,15.0,9.0,6.0,16.2
llm_mistral,rl_rules_trained,14.0,11.0,5.0,10.366666666666667
rl_llama3_trained,llm_llama3,14.0,14.0,2.0,8.166666666666666
llm_llama3,rl_llama3_trained,14.0,14.0,2.0,8.166666666666666
llm_llama3,rl_mistral_trained,14.0,12.0,4.0,8.533333333333333
random,rl_rules_trained,14.0,13.0,3.0,16.4
rl_llama3_trained,llm_mistral,14.0,13.0,3.0,7.4
ai,rl_rules_trained,13.0,17.0,0.0,2.9
llm_llama3,ai,13.0,17.0,0.0,2.2
rl_mistral_trained,llm_mistral,13.0,12.0,5.0,8.133333333333333
llm_mistral,rl_llama3_trained,13.0,14.0,3.0,7.4
rl_rules_trained,random,13.0,14.0,3.0,16.4
llm_mistral,rl_mistral_trained,12.0,13.0,5.0,8.133333333333333
rl_mistral_trained,ai,12.0,18.0,0.0,4.833333333333333
llm_mistral,llm_llama3,12.0,16.0,2.0,4.566666666666666
rl_rules_trained,rl_mistral_trained,12.0,9.0,9.0,54.5
rl_mistral_trained,llm_llama3,12.0,14.0,4.0,8.533333333333333
rl_rules_trained,llm_mistral,11.0,14.0,5.0,10.366666666666667
random,llm_llama3,11.0,16.0,3.0,15.333333333333334
rl_llama3_trained,rl_rules_trained,11.0,8.0,11.0,64.63333333333334
random,llm_mistral,10.0,18.0,2.0,9.466666666666667
llm_mistral,ai,10.0,20.0,0.0,1.6333333333333333
llm_llama3,rl_rules_trained,10.0,18.0,2.0,6.933333333333334
random,rl_mistral_trained,9.0,15.0,6.0,16.2
rl_mistral_trained,rl_rules_trained,9.0,12.0,9.0,54.5
rl_llama3_trained,ai,9.0,21.0,0.0,5.733333333333333
rl_llama3_trained,rl_mistral_trained,9.0,5.0,16.0,71.2
rl_rules_trained,rl_llama3_trained,8.0,11.0,11.0,64.63333333333334
random,rl_llama3_trained,8.0,17.0,5.0,15.866666666666667
random,ai,7.0,23.0,0.0,3.2
rl_mistral_trained,rl_llama3_trained,5.0,9.0,16.0,71.2
